gene_symbol|functions|functions_reference|processes|processes_reference|components|components_reference
WDR51A|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
WDR51B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
OR10G9|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR10G8|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR10G7|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|-
AZIN1|Molecular function unknown (GO:0005554)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
OR10G4|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR10G3|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|14983052
OR10G2|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
KCMF1|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|Nucleus (GO:0005634)|12810064
EHHADH|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Peroxisome (GO:0005777)|8188243
AGPS|Transferase activity (GO:0016740)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Peroxisome (GO:0005777)|9553082
ISY1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
TRHDE|Aminopeptidase activity (GO:0004177)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576);Plasma membrane (GO:0005886)|10491199
CRADD|Receptor signaling complex scaffold activity (GO:0030159)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|10713730
CITED1|Transcription factor activity (GO:0003700)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|9434189;8901575;11310794;9683535;9721210
UBL4A|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|-|-
CITED2|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|10552932;9434189;12586840
CITED4|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|11744733
AGR2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
AGR3|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Extracellular (GO:0005576);Endosome (GO:0005768)|12477722;12592373
RAC1|GTPase activity (GO:0003924)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|11590143
RAC2|GTPase activity (GO:0003924)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|2674130
RAC3|GTPase activity (GO:0003924)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10618392;2674130
MEGF6|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|-|-
MEGF8|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|9693030
MEGF9|Calcium ion binding (GO:0005509)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
UBL4B|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|-|-
BLCAP|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Integral to membrane (GO:0016021)|-
PHYHD1|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
IL6ST|Transmembrane receptor activity (GO:0004888)|-|Immune response (GO:0006955)|-|Plasma membrane (GO:0005886);Extracellular (GO:0005576)|2261637;8353278
AGRN|Extracellular matrix structural constituent (GO:0005201)|-|Cell growth and/or maintenance (GO:0008151)|-|Extracellular (GO:0005576)|1659950;1326608
AGRP|Peptide hormone (GO:0005180)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Extracellular (GO:0005576)|11344185;12153462
WBP11|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Integral to membrane (GO:0016021);Nucleolus (GO:0005730)|10593949;11375989;15635413
RAD1|Exonuclease activity (GO:0004527)|9660799;15871698|Regulation of cell cycle (GO:0000074)|15556996;15871698|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|11994305
KIF21B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
KIF21A|Motor activity (GO:0003774)|-|Cell growth and/or maintenance (GO:0008151)|-|Cytoplasm (GO:0005737)|10225949
OR10C1|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
NACAL|Chaperone activity (GO:0003754)|-|Immune response (GO:0006955)|-|Cytoplasm (GO:0005737)|10982809;7622554
VARS2|Ligase activity (GO:0016874)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
GFPT1|Transaminase activity (GO:0008483)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|2037571
GFPT2|Transaminase activity (GO:0008483)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|-
YY1AP1|Protein binding (GO:0005515);Molecular function unknown (GO:0005554)|14744866|Regulation of gene expression, epigenetic (GO:0040029);Biological_process unknown (GO:0000004)|14744866|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|11710830;14744866
RAE1|RNA binding (GO:0003723)|9256445|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|9256445|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Microtubule (GO:0005874);Cytoskeleton (GO:0005856)|10209021;15629720;11831386;15851029;9370289;9256445
IFNAR2|Receptor activity (GO:0004872)|7665574|Cell communication (GO:0007154);Signal transduction (GO:0007165)|7665574|Plasma membrane (GO:0005886);Extracellular (GO:0005576)|8181059;7759950
IFNAR1|Transmembrane receptor activity (GO:0004888)|-|Immune response (GO:0006955)|-|Plasma membrane (GO:0005886)|2153461
NUB1|Ubiquitin-specific protease activity (GO:0004843)|-|Protein metabolism (GO:0019538)|-|Nucleus (GO:0005634)|14757770;11259415
KIF20A|Motor activity (GO:0003774)|-|Cell growth and/or maintenance (GO:0008151)|-|Golgi apparatus (GO:0005794)|9438855
UMODL1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|15194491
ANTXR1|Receptor activity (GO:0004872)|16141341|Regulation of endocytosis (GO:0030100)|16141341|Plasma membrane (GO:0005886)|11700562
PKD1|Molecular function unknown (GO:0005554)|-|Cell-matrix adhesion (GO:0007160)|8981910;11274246|Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|8981910
PKD2|Auxiliary transport protein activity (GO:0015457)|-|Transport (GO:0006810)|-|Perinuclear region (GO:0048471);Plasma membrane (GO:0005886)|12527301;9529618;11252306
ANTXR2|Cytoskeletal protein binding (GO:0008092)|-|Cell growth and/or maintenance (GO:0008151)|-|Endoplasmic reticulum (GO:0005783)|11683410
GRIA1|Extracellular ligand-gated ion channel activity (GO:0005230)|-|Transport (GO:0006810)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|8163463;10751563;10023812
GRIA2|Extracellular ligand-gated ion channel activity (GO:0005230)|-|Transport (GO:0006810)|-|Plasma membrane (GO:0005886);Endoplasmic reticulum (GO:0005783)|12062022;10985351
GRIA3|Extracellular ligand-gated ion channel activity (GO:0005230)|-|Ion transport (GO:0006811);Transport (GO:0006810)|-|Cell surface (GO:0009986);Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|12682273
GRIA4|Extracellular ligand-gated ion channel activity (GO:0005230)|-|Transport (GO:0006810)|-|Plasma membrane (GO:0005886)|8163463
RAF1|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Nucleus (GO:0005634);Cytoplasm (GO:0005737)|10497893;9819434;8349614;15459208
OR10A7|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR10A6|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|-
OR10A5|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR10A4|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR10A3|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Integral to membrane (GO:0016021)|-
OR10A2|G-protein coupled receptor activity (GO:0004930)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
RAG1|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|8777717
RAG2|DNA binding (GO:0003677)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|12861017
RAGE|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|10421840
NUDC|Protein binding (GO:0005515)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|10210332
ULK1|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Endoplasmic reticulum (GO:0005783);Golgi apparatus (GO:0005794)|11146101
ULK2|Growth factor activity (GO:0008083)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|15014045
ULK3|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
ULK4|Protein threonine/tyrosine kinase activity (GO:0004712)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
GCET2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Cytoplasm (GO:0005737)|12509382
SVIL|Cytoskeletal protein binding (GO:0008092)|-|Cell growth and/or maintenance (GO:0008151)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Plasma membrane (GO:0005886)|12711699
GAP43|Growth factor activity (GO:0008083)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|12805215
GRID1|Transporter activity (GO:0005215)|-|Transport (GO:0006810)|-|Integral to membrane (GO:0016021)|-
GRID2|Auxiliary transport protein activity (GO:0015457)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Dendrite (GO:0030425);Golgi apparatus (GO:0005794);Perinuclear region (GO:0048471);Focal adhesion (GO:0005925)|9465309;14572453
RAI1|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
RAI2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
NUF2|Cytoskeletal protein binding (GO:0008092)|15961401;12438418|Spindle assembly (GO:0007051);Chromosome segregation (GO:0007059);Cell communication (GO:0007154);Signal transduction (GO:0007165)|15548592;11685532|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Kinetochore (GO:0000776)|12438418;11685532
KIAA1279|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
KIAA1274|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
ALDH4A1|Catalytic activity (GO:0003824)|8621661|Metabolism (GO:0008152);Energy pathways (GO:0006091)|8621661|Mitochondrion (GO:0005739)|8621661
QTRT1|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
AGXT|Transaminase activity (GO:0008483)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Peroxisome (GO:0005777);Mitochondrion (GO:0005739);Cytoplasm (GO:0005737)|11085934
PDRG1|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Cytoplasm (GO:0005737)|14562055
KIAA1267|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
TPRKB|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|12659830
PKIA|Protein kinase binding (GO:0019901)|11978406;7905001;2989819|Signal transduction (GO:0007165);Cell communication (GO:0007154)|11978406;7905001;2989819|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|7836431
PKIB|Protease inhibitor activity (GO:0030414)|10880337|Protein metabolism (GO:0019538)|10880337|Nucleus (GO:0005634)|10880337
PAGE1|MHC class I receptor activity (GO:0030106);MHC class II receptor activity (GO:0045012)|-|Immune response (GO:0006955)|-|Cytoplasm (GO:0005737)|-
PAGE2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
WBP1|Receptor binding (GO:0005102)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
PAGE4|MHC class I receptor activity (GO:0030106);MHC class II receptor activity (GO:0045012)|-|Immune response (GO:0006955)|-|Cytoplasm (GO:0005737)|12489849
PKIG|Enzyme inhibitor activity (GO:0004857)|9218452|Biological_process unknown (GO:0000004);Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
PAGE5|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
WBP5|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
WBP2|Receptor binding (GO:0005102)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
KIAA1257|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
NDNL2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|Nucleolus (GO:0005730)|15635413
AADAC|Deacetylase activity (GO:0019213)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Endoplasmic reticulum (GO:0005783)|8063807
ITCH|Ubiquitin-specific protease activity (GO:0004843)|10940313|Regulation of signal transduction (GO:0009966)|12226085|Plasma membrane (GO:0005886);Endosome (GO:0005768)|14602072;14684745
PAGE3|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
WBP4|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|9724750
AADAT|Transaminase activity (GO:0008483)|12126930;8087205;1798692|Metabolism (GO:0008152);Energy pathways (GO:0006091)|12126930;8087205|Mitochondrion (GO:0005739)|8087205;12126930;1798692
APH1A|Protein binding (GO:0005515)|14627705|Signal transduction (GO:0007165)|-|Golgi apparatus (GO:0005794);Integral to membrane (GO:0016021);Endoplasmic reticulum (GO:0005783);Vesicle (None);Perinuclear region (GO:0048471)|14572442;12471034
APH1B|Peptidase activity (GO:0008233)|-|Protein modification (GO:0006464);Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
KIAA1244|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
RALA|GTPase activity (GO:0003924)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|10329639
RALB|GTPase activity (GO:0003924)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|8972729
TCEA1|Transcription regulator activity (GO:0030528)|2471707|Transcription (GO:0006350)|2471707|Nucleus (GO:0005634);Nucleolus (GO:0005730)|2471707;1708494;15635413
TCEA2|Transcription factor activity (GO:0003700)|12034815;11709559|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|12034815;11709559|Nucleoplasm (GO:0005654)|12761297
TCEA3|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|-|-
SLC7A6OS|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
RALY|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|-|-
PPP1R10|Protein serine/threonine phosphatase activity (GO:0004722)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634)|12574161;17000644
PPP1R11|Enzyme inhibitor activity (GO:0004857)|9843442|Biological_process unknown (GO:0000004)|9843442|-|-
TCEB1|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|12943681
TCEB2|Transcription regulator activity (GO:0030528)|7660129|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|7660129|Nucleus (GO:0005634)|12943681;7660129
TCEB3|Transcription regulator activity (GO:0030528)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634);Nucleolus (GO:0005730)|12943681;15635413
SFRS2IP|RNA binding (GO:0003723)|-|Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)|-|Nucleus (GO:0005634)|9447963
PPP1R1A|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
PPP1R1B|Kinase regulator activity (GO:0019207);Phosphatase regulator activity (GO:0019208)|10604473|Signal transduction (GO:0007165)|10604473|Dendrite (GO:0030425);Axon (GO:0030424);Synapse (GO:0045202);Perinuclear region (GO:0048471)|2191086
FIBP|Molecular function unknown (GO:0005554)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634);Mitochondrion (GO:0005739);Endoplasmic reticulum (GO:0005783)|9806903
PPP1R1C|Enzyme regulator activity (GO:0030234)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|-|-
AIPL1|Chaperone activity (GO:0003754)|10615133|Protein folding (GO:0006457);Protein metabolism (GO:0019538)|10615133;14555765|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|12374762;11929855;15469903;10615133
MAP4K5|Protein serine/threonine kinase activity (GO:0004674)|9038372;9788432;12591926|Cell communication (GO:0007154);Signal transduction (GO:0007165)|9038372;9788432;12591926|Cytoplasm (GO:0005737)|9038372
MAP4K4|Protein serine/threonine kinase activity (GO:0004674)|9890973|Signal transduction (GO:0007165)|9890973|Cytoplasm (GO:0005737);Perinuclear region (GO:0048471)|14966141
MAP4K3|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|12127567
MAP4K2|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737);Golgi apparatus (GO:0005794)|8643544
MAP4K1|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737)|11278340
UNC45B|Chaperone activity (GO:0003754)|12356907|Cell growth and/or maintenance (GO:0008151)|12356907|-|-
SVOP|Transporter activity (GO:0005215)|-|Transport (GO:0006810)|-|-|-
UNC45A|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
PKM2|Kinase activity (GO:0016301);Catalytic activity (GO:0003824)|2813362|Energy pathways (GO:0006091);Metabolism (GO:0008152)|2813362;14970694|Cytoplasm (GO:0005737);Extracellular (GO:0005576)|2813362;16188874
PKLR|Catalytic activity (GO:0003824)|-|Metabolism (GO:0008152)|-|-|-
CCDC90A|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
CCDC90B|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
KIAA1219|GTPase activator activity (GO:0005096)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Smooth microsome (GO:0019719);Plasma membrane (GO:0005886);Rough microsome (GO:0019718);Cytosol (GO:0005829)|16490346
KIAA1217|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
TP53I13|DNA binding (GO:0003677)|14767535|Regulation of cell cycle (GO:0000074);DNA repair (GO:0006281);Apoptosis (GO:0006915)|14767535|Cytoplasm (GO:0005737)|14767535
TP53I11|Molecular function unknown (GO:0005554)|-|Apoptosis (GO:0006915)|-|Cytoplasm (GO:0005737);Integral to membrane (GO:0016021)|15225615
KIAA1212|Structural constituent of cytoskeleton (GO:0005200)|-|Cell growth and/or maintenance (GO:0008151);Cell migration (GO:0016477)|16139227|Cytoskeleton (GO:0005856);Plasma membrane (GO:0005886)|16139227
PKN1|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|8816775
PKN2|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Cytoplasm (GO:0005737);Extracellular (GO:0005576)|8910519;14718574
DSC1|Cell adhesion molecule activity (GO:0005194)|-|Cell growth and/or maintenance (GO:0008151)|-|Plasma membrane (GO:0005886);Cytoplasmic vesicle (GO:0016023);Extracellular (GO:0005576)|11442746;16188874
DSC2|Cell adhesion molecule activity (GO:0005194)|-|Cell growth and/or maintenance (GO:0008151)|-|Plasma membrane (GO:0005886)|11853539;9443898
DSC3|Cell adhesion molecule activity (GO:0005194)|-|Cell growth and/or maintenance (GO:0008151)|-|Plasma membrane (GO:0005886);Extracellular (GO:0005576)|11500511;7929347
GRIK1|Extracellular ligand-gated ion channel activity (GO:0005230)|-|Transport (GO:0006810)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737)|8163463;10023812
GRIK2|Extracellular ligand-gated ion channel activity (GO:0005230)|-|Transport (GO:0006810)|-|Plasma membrane (GO:0005886)|8163463
GRIK3|Extracellular ligand-gated ion channel activity (GO:0005230)|-|Transport (GO:0006810)|-|Plasma membrane (GO:0005886)|8163463
GRIK4|Receptor activity (GO:0004872)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886)|8263508
GRIK5|Receptor activity (GO:0004872)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Endoplasmic reticulum (GO:0005783)|14511640
PKN3|Protein serine/threonine kinase activity (GO:0004674)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634);Golgi apparatus (GO:0005794)|10441506
PPP1R3A|Protein serine/threonine phosphatase activity (GO:0004722)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Sarcoplasmic reticulum (GO:0016529)|12118251
PPP1R3B|Molecular function unknown (GO:0005554)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|-|-
PPP1R3C|Phosphatase regulator activity (GO:0019208)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|-
PPP1R3D|Molecular function unknown (GO:0005554)|-|Metabolism (GO:0008152);Energy pathways (GO:0006091)|-|Cytoplasm (GO:0005737)|-
PPP1R3F|Enzyme regulator activity (GO:0030234)|-|Biological_process unknown (GO:0000004)|-|-|-
SS18L2|Molecular function unknown (GO:0005554)|-|Biological_process unknown (GO:0000004)|-|-|-
SS18L1|Transcription regulator activity (GO:0030528)|14716005|Neurogenesis (GO:0007399)|14716005|Cytoplasm (GO:0005737);Nucleus (GO:0005634)|15866867;14716005
NUMB|Molecular function unknown (GO:0005554)|-|Development (GO:0007275)|10468633|Plasma membrane (GO:0005886);Endosome (GO:0005768);Golgi apparatus (GO:0005794);Cytoplasmic vesicle (GO:0016023)|8755477;11121447
KRTAP2-4|Structural molecule activity (GO:0005198)|-|Cell growth and/or maintenance (GO:0008151)|-|-|-
SORBS3|Cell adhesion molecule activity (GO:0005194)|9885244|Cell growth and/or maintenance (GO:0008151);Cytoskeleton organization and biogenesis (GO:0007010)|9885244;15184391|Actin cytoskeleton (GO:0015629);Cytoplasm (GO:0005737);Nucleus (GO:0005634);Plasma membrane (GO:0005886)|15242778;9885244;15184391
SORBS2|Receptor signaling complex scaffold activity (GO:0030159)|9211900;15784622|Cell communication (GO:0007154);Signal transduction (GO:0007165)|15784622|Cytoplasm (GO:0005737);Cytoplasmic vesicle (GO:0016023);Nucleus (GO:0005634);Plasma membrane (GO:0005886)|10521485;15128873;9211900
SORBS1|Cell adhesion molecule activity (GO:0005194)|10085297|Signal transduction (GO:0007165);Cytoskeleton organization and biogenesis (GO:0007010)|11001060;11374898;10085297|Cell junction (GO:0030054);Actin filament (GO:0005884);Extracellular matrix (GO:0005578)|10085297;17082770
TFPI2|Protease inhibitor activity (GO:0030414)|-|Protein metabolism (GO:0019538)|-|Extracellular (GO:0005576);Plasma membrane (GO:0005886);Endoplasmic reticulum (GO:0005783)|8914837;9445254;11834519;11945080
CABLES1|Receptor signaling complex scaffold activity (GO:0030159)|-|Cell growth and/or maintenance (GO:0008151)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737);Integral to membrane (GO:0016021);Mitochondrion (GO:0005739)|11585773;14729625;12612882;11527406
PKP1|Cell adhesion molecule activity (GO:0005194)|7527055|Intercellular junction assembly and/or maintenance (GO:0045216)|15988759|Nucleus (GO:0005634);Desmosome (GO:0030057)|11790773;15988759;7527055
PKP2|Molecular function unknown (GO:0005554)|-|Cell adhesion (GO:0007155)|8922383|Integral to membrane (GO:0016021);Plasma membrane (GO:0005886);Desmosome (GO:0030057);Nucleus (GO:0005634)|8922383
PKP3|Cell adhesion molecule activity (GO:0005194)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Plasma membrane (GO:0005886);Nucleus (GO:0005634)|10374265;10381383
PKP4|Cell adhesion molecule activity (GO:0005194)|8937994;12370826|Cell growth and/or maintenance (GO:0008151)|-|Plasma membrane (GO:0005886);Cytoplasm (GO:0005737);Desmosome (GO:0030057);Nucleus (GO:0005634)|8937994;12047349;11711544;12370826
CABLES2|Molecular function unknown (GO:0005554)|-|Apoptosis (GO:0006915)|-|-|-
RARA|Ligand-dependent nuclear receptor activity (GO:0004879)|8051161|Signal transduction (GO:0007165)|16085646|Nucleus (GO:0005634)|10760302
RARB|Transcription factor activity (GO:0003700)|-|Cell communication (GO:0007154);Signal transduction (GO:0007165)|-|Nucleus (GO:0005634);Cytoplasm (GO:0005737)|10411930
